KP,Easting,Northing,Time,Date,DCC,SD,Comments,Video,Anomaly,Bathy,DOB,ContactCP,ContinuousCP,CoverLocal,CoverMSB,Code1,Code2,Code3,Span,Exposure,Movement,WghtCt,Stab,SpanLength,SpanLengthOdom,SpanHeight,SpanDEI,Location,Offset,DimX,DimY,DimZ,Anomlink,VideoCount,UniqueID,Dummy3,Dummy4,DummyString
0.7080,310453.082,5949287.136,080000,26072025,0.000,,Nav Marker,,,,,-1240,-1025,0.01,-0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.7200,310464.909,5949288.682,080000,26072025,0.000,,Nav Marker,,,,,-1246,-1027,0.0,-0.31,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.7320,310476.736,5949290.227,080000,26072025,0.000,,Nav Marker,,,,,-1238,-1028,-0.01,-0.31,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0.7440,310488.585,5949291.786,080000,26072025,0.000,,Nav Marker,,,,,-1248,-1029,-0.01,0.12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0.7560,310500.456,5949293.359,080000,26072025,0.000,,Nav Marker,,,,,-1247,-1030,0.01,0.17,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.7680,310512.238,5949295.591,080000,26072025,-0.670,,Nav Marker,,,,,-1250,-1028,0.02,0.0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.7800,310524.196,5949296.503,080000,26072025,0.000,,Nav Marker,,,,,-1253,-1029,0.0,-0.02,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.7920,310536.033,5949298.333,080000,26072025,-0.260,,Nav Marker,,,,,-1250,-1030,0.11,0.21,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.8040,310547.922,5949299.758,080000,26072025,-0.110,,Nav Marker,,,,,-1254,-1028,0.17,0.38,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.8160,310559.787,5949301.376,080000,26072025,-0.160,,Nav Marker,,,,,-1255,-1025,0.19,0.23,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.8280,310571.623,5949303.302,080000,26072025,-0.200,,Nav Marker,,,,,-1253,-1027,0.2,0.41,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.8400,310583.572,5949305.671,080000,26072025,0.260,,Nav Marker,,,,,-1259,-1026,0.15,0.54,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.8520,310595.402,5949308.538,080000,26072025,0.210,,Nav Marker,,,,,-1260,-1031,0.28,0.38,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.8640,310607.123,5949311.864,080000,26072025,-0.320,,Nav Marker,,,,,-1242,-1010,0.31,-0.01,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.8760,310618.628,5949315.406,080000,26072025,-0.630,,Nav Marker,,,,,-1254,-1020,0.18,0.28,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.8880,310630.023,5949319.173,080000,26072025,-0.860,,Nav Marker,,,,,-1253,-1022,0.19,0.08,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.9000,310641.390,5949323.026,080000,26072025,-1.180,,Nav Marker,,,,,-1255,-1023,0.13,0.3,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.9120,310653.202,5949325.444,080000,26072025,0.000,,Nav Marker,,,,,-1245,-1022,-0.01,-0.13,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0.9240,310664.664,5949328.992,080000,26072025,0.000,,Nav Marker,,,,,-1253,-1020,-0.0,-0.02,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0.9360,310676.006,5949332.922,080000,26072025,0.000,,Nav Marker,,,,,-1250,-1022,-0.01,-0.12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
