,Asset,Pipeline,AnomalyNum,Images,Description,DataSource,IMC_AnomalyCat,KP_StartAnomaly,DateLastMod,SourceFile
1079,westsole,PL028,191149,"['191149-01', '191149-02']",Circumferential weightcoat loss,ROV,WCL,35.14441009642260,20190808 200242,westsole\anoms_19.dat
1080,westsole,PL028,19828,"['19828-01', '19828-02']",Start of pipeline exposure anomaly 19828,ROV,EXP,35.20765332059840,20190808 200644,westsole\anoms_19.dat
1081,westsole,PL028,191150,"['191150-01', '191150-02']",Circumferential weightcoat loss,ROV,WCL,35.21359259184920,20190808 200705,westsole\anoms_19.dat
1082,westsole,PL028,19829,"['19829-01', '19829-02']",Start of pipeline exposure anomaly 19829,ROV,EXP,35.29517306417850,20190808 201136,westsole\anoms_19.dat
1083,westsole,PL028,19830,"['19830-01', '19830-02']",Start of pipeline exposure anomaly 19830,ROV,EXP,35.33369851804860,20190808 201340,westsole\anoms_19.dat
1084,westsole,PL028,19831,"['19831-01', '19831-02']",Start of pipeline exposure anomaly 19831,ROV,EXP,35.36443519687960,20190808 201516,westsole\anoms_19.dat
1085,westsole,PL028,19832,"['19832-01', '19832-02']",Start of pipeline exposure anomaly 19832,ROV,EXP,35.45388108731340,20190808 201932,westsole\anoms_19.dat
1086,westsole,PL028,19833,"['19833-01', '19833-02']",Start of pipeline exposure anomaly 19833,ROV,EXP,35.82094352286790,20190808 203620,westsole\anoms_19.dat
1087,westsole,PL028,19834,"['19834-01', '19834-02']",Start of pipeline exposure anomaly 19834,ROV,EXP,36.31998105421660,20190808 205631,westsole\anoms_19.dat
1088,westsole,PL028,191151,"['191151-01', '191151-02']",Circumferential weightcoat loss,ROV,WCL,36.34263787020620,20190808 205740,westsole\anoms_19.dat
1089,westsole,PL028,191152,"['191152-01', '191152-02']",Circumferential weightcoat loss,ROV,WCL,36.82183524269060,20190808 212723,westsole\anoms_19.dat
1090,westsole,PL028,191153,"['191153-01', '191153-02']",Circumferential weightcoat loss,ROV,WCL,36.85804344298630,20190808 212924,westsole\anoms_19.dat
1091,westsole,PL028,191154,"['191154-01', '191154-02']",Circumferential weightcoat loss,ROV,WCL,36.86664390129870,20190808 212946,westsole\anoms_19.dat
1092,westsole,PL028,191155,"['191155-01', '191155-02']",Circumferential weightcoat loss,ROV,WCL,36.91750268264970,20190808 213228,westsole\anoms_19.dat
1093,westsole,PL028,191156,"['191156-01', '191156-02']",Circumferential weightcoat loss,ROV,WCL,36.92114198791930,20190808 213245,westsole\anoms_19.dat
1094,westsole,PL028,191157,"['191157-01', '191157-02']",Circumferential weightcoat loss,ROV,WCL,36.93297330320280,20190808 213322,westsole\anoms_19.dat
1095,westsole,PL028,191158,"['191158-01', '191158-02']",Circumferential weightcoat loss,ROV,WCL,36.93518433947500,20190808 213327,westsole\anoms_19.dat
1096,westsole,PL028,191159,"['191159-01', '191159-02']",Circumferential weightcoat loss,ROV,WCL,36.94883825312430,20190808 213412,westsole\anoms_19.dat
1097,westsole,PL028,191160,"['191160-01', '191160-02']",Circumferential weightcoat loss,ROV,WCL,36.95953617740350,20190808 213447,westsole\anoms_19.dat
1098,westsole,PL028,191161,"['191161-01', '191161-02']",Circumferential weightcoat loss,ROV,WCL,36.96318153060680,20190808 213458,westsole\anoms_19.dat
1099,westsole,PL028,191162,"['191162-01', '191162-02']",Circumferential weightcoat loss,ROV,WCL,36.97142935921370,20190808 213531,westsole\anoms_19.dat
1100,westsole,PL028,191163,"['191163-01', '191163-02']",Weightcoat loss from 9 o/c to 12 o/c,ROV,WCL,36.98253531833090,20190808 213612,westsole\anoms_19.dat
1101,westsole,PL028,191164,"['191164-01', '191164-02']",Circumferential weightcoat loss,ROV,WCL,37.00431472431940,20190808 213703,westsole\anoms_19.dat
1102,westsole,PL028,191165,"['191165-01', '191165-02']",Circumferential weightcoat loss,ROV,WCL,37.01660545991030,20190808 213742,westsole\anoms_19.dat
1103,westsole,PL028,191166,"['191166-01', '191166-02']",Circumferential weightcoat loss,ROV,WCL,37.02995369354090,20190808 213815,westsole\anoms_19.dat
1104,westsole,PL028,191167,"['191167-01', '191167-02']",Circumferential weightcoat loss,ROV,WCL,37.03849880925640,20190808 213835,westsole\anoms_19.dat
1105,westsole,PL028,191168,"['191168-01', '191168-02']",Circumferential weightcoat loss,ROV,WCL,37.05867521045900,20190808 213937,westsole\anoms_19.dat
1106,westsole,PL028,191169,"['191169-01', '191169-02']",Circumferential weightcoat loss,ROV,WCL,37.06597698069440,20190808 214003,westsole\anoms_19.dat
1107,westsole,PL028,191170,"['191170-01', '191170-02']",Circumferential weightcoat loss,ROV,WCL,37.08058800221250,20190808 214042,westsole\anoms_19.dat
1108,westsole,PL028,191171,"['191171-01', '191171-02']",Circumferential weightcoat loss,ROV,WCL,37.10767696273500,20190808 214153,westsole\anoms_19.dat
1109,westsole,PL028,19835,"['19835-01', '19835-02']",Start of pipeline exposure anomaly 19835,ROV,EXP,37.91145925147010,20190808 235729,westsole\anoms_19.dat
1110,westsole,PL028,191172,"['191172-01', '191172-02']",Weightcoat loss from 9 o/c to 12 o/c,ROV,WCL,37.93883841646940,20190808 235842,westsole\anoms_19.dat
1111,westsole,PL028,191173,"['191173-01', '191173-02']",Circumferential weightcoat loss,ROV,WCL,37.94277973826900,20190808 235859,westsole\anoms_19.dat
1112,westsole,PL028,191174,"['191174-01', '191174-02']",Circumferential weightcoat spalling,ROV,DAM,38.01267335561340,20190809 000704,westsole\anoms_19.dat
1113,westsole,PL028,191175,"['191175-01', '191175-02']",Circumferential weightcoat loss,ROV,WCL,38.04314772054760,20190809 000849,westsole\anoms_19.dat
1114,westsole,PL028,191176,"['191176-01', '191176-02']",Circumferential weightcoat loss,ROV,WCL,38.04602878248710,20190809 000857,westsole\anoms_19.dat
1115,westsole,PL028,191177,"['191177-01', '191177-02']",Circumferential weightcoat loss,ROV,WCL,38.05729547496120,20190809 000928,westsole\anoms_19.dat
1116,westsole,PL028,191178,"['191178-01', '191178-02']",Circumferential weightcoat loss,ROV,WCL,38.06310189827200,20190809 000950,westsole\anoms_19.dat
1117,westsole,PL028,191179,"['191179-01', '191179-02']",Circumferential weightcoat loss,ROV,WCL,38.08237840412930,20190809 001045,westsole\anoms_19.dat
1118,westsole,PL028,191180,"['191180-01', '191180-02']",Circumferential weightcoat loss,ROV,WCL,38.13027001542080,20190809 001309,westsole\anoms_19.dat
1119,westsole,PL028,191181,"['191181-01', '191181-02']",Circumferential weightcoat loss,ROV,WCL,38.15316478870890,20190809 001405,westsole\anoms_19.dat
1120,westsole,PL028,191182,"['191182-01', '191182-02']",Circumferential weightcoat loss,ROV,WCL,38.21105694581930,20190809 001630,westsole\anoms_19.dat
1121,westsole,PL028,191183,"['191183-01', '191183-02']",Circumferential weightcoat loss,ROV,WCL,38.23114749418030,20190809 001728,westsole\anoms_19.dat
1122,westsole,PL028,191184,"['191184-01', '191184-02']",Circumferential weightcoat loss,ROV,WCL,38.28277515971090,20190809 001959,westsole\anoms_19.dat
1123,westsole,PL028,191185,"['191185-01', '191185-02']",Circumferential weightcoat loss,ROV,WCL,38.28852862823100,20190809 002021,westsole\anoms_19.dat
1124,westsole,PL028,191186,"['191186-01', '191186-02']",Circumferential weightcoat loss,ROV,WCL,38.30760939236720,20190809 002112,westsole\anoms_19.dat
1125,westsole,PL028,191187,"['191187-01', '191187-02']",Circumferential weightcoat loss,ROV,WCL,38.34156063276290,20190809 002243,westsole\anoms_19.dat
1126,westsole,PL028,191188,"['191188-01', '191188-02']",Circumferential weightcoat loss,ROV,WCL,38.36268271069570,20190809 002342,westsole\anoms_19.dat
1127,westsole,PL028,191189,"['191189-01', '191189-02']",Circumferential weightcoat loss,ROV,WCL,40.00188791092890,20190809 014904,westsole\anoms_19.dat
1128,westsole,PL028,191190,"['191190-01', '191190-02']",Circumferential weightcoat loss,ROV,WCL,40.14414448574330,20190809 015803,westsole\anoms_19.dat
1129,westsole,PL028,19836,"['19836-01', '19836-02']",Start of pipeline exposure anomaly 19836,ROV,EXP,41.43178204730090,20190809 025521,westsole\anoms_19.dat
1130,westsole,PL028,19837,"['19837-01', '19837-02']",Start of pipeline exposure anomaly 19837,ROV,EXP,41.51847099473350,20190809 025953,westsole\anoms_19.dat
1131,westsole,PL028,19838,"['19838-01', '19838-02']",Start of pipeline exposure anomaly 19838,ROV,EXP,41.97453831944050,20190809 032334,westsole\anoms_19.dat
